Date,Stock_Volume,keyword,클라우드,매출,추진,글로벌,성장,공개,케어,대표,캡스,랜섬웨어,위협,안전,플랫폼,데이터,하반기,보안,서비스,무인,솔루션,기록,금융,고객,포인트,공격,로봇,사업,기술,카카오,프로,매장,영상,대응,공모,투자,투자자,뱅크,심사,시장,주주,기업,가치,증권,자금,증시,분할,주식,평가,거래소,주가,회사,희망,자회사,거래,배당,에스원,SK 쉴더스,KT텔레캅,아이디스,코로나,인증,백신,QR코드
2020-01-02,"66,887",61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,0,0,1,0,9,0,0,0,9,0,9,0,0,8,0,0,0,0
2020-01-03,"78,066",40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,6,0,0,0,4,0,6,0,0,3,0,0,0,0
2020-01-06,"49,312",60,1,1,0,1,1,0,2,1,1,0,1,1,1,1,0,1,1,0,3,1,3,1,1,1,4,1,1,2,0,0,1,1,0,0,0,0,0,2,0,1,1,4,2,0,0,0,1,0,4,1,0,1,3,0,5,0,0,1,0,0,0,0
2020-01-07,"55,727",40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,5,0,0,0,3,0,5,0,0,1,0,2,0,0
2020-01-08,"70,144",30,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-01-09,"74,737",41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,6,0,0,0,6,0,6,0,0,3,0,0,0,0
2020-01-10,"54,262",24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,3,0,3,0,0,1,0,0,0,0
2020-01-13,"47,984",54,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,2,0,3,1,0,0,5,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,5,2,0,0,0,0,0,5,1,0,1,6,0,6,0,0,3,0,1,0,0
2020-01-14,"56,702",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0
2020-01-15,"41,427",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,4,0,4,0,0,3,0,0,0,0
2020-01-16,"53,856",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,4,0,0,0,0
2020-01-17,"52,793",87,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,10,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,10,7,0,0,0,1,0,10,0,0,0,10,0,10,0,0,2,0,0,0,0
2020-01-20,"58,344",270,1,0,0,21,12,3,0,31,1,0,1,0,0,3,0,20,2,0,28,0,2,0,1,0,0,29,14,0,3,1,4,4,0,4,0,0,1,8,1,19,0,1,1,0,1,0,9,0,3,8,0,0,0,1,31,0,1,0,0,0,0,0
2020-01-21,"30,591",237,0,1,13,13,14,2,0,7,1,0,0,2,3,3,0,14,1,0,11,2,7,0,2,0,2,21,16,0,3,0,3,3,0,5,0,3,3,3,1,7,0,7,2,0,0,0,7,0,4,13,0,1,3,1,28,0,2,2,0,0,1,0
2020-01-22,"35,157",20,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0
2020-01-23,"71,565",78,1,0,0,1,1,0,1,1,2,0,0,5,1,1,0,4,4,0,3,1,3,2,1,0,1,3,1,0,3,3,2,5,0,1,1,0,1,1,0,4,0,2,1,0,0,0,1,0,1,1,0,1,4,0,7,0,2,0,0,0,0,0
2020-01-28,"78,912",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0,5,0,5,0,0,2,0,0,0,0
2020-01-29,"283,468",15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
2020-01-30,"53,996",16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0
2020-01-31,"48,466",75,0,6,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,2,0,0,0,4,1,0,0,0,0,3,0,0,2,1,0,1,1,2,2,0,6,1,0,0,3,0,2,5,1,0,1,5,4,12,0,0,1,0,0,0,0
2020-02-03,"54,978",442,0,7,1,5,6,5,2,8,2,0,0,1,2,34,0,5,35,0,3,5,5,28,1,2,6,39,11,3,7,8,9,1,0,9,2,0,0,8,0,8,2,14,4,0,0,4,4,0,11,39,3,31,7,1,52,0,0,2,0,0,0,0
2020-02-04,"80,799",47,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,1,1,2,2,0,0,3,4,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,0,0,3,2,0,2,3,0,7,0,0,0,1,0,0,0
2020-02-05,"57,894",52,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,3,0,2,1,1,0,5,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,5,2,0,2,5,0,7,0,0,0,0,0,0,0
2020-02-06,"41,261",72,0,0,0,0,0,2,2,1,0,0,0,0,1,3,0,1,2,1,3,0,3,1,1,0,4,2,3,2,0,1,0,0,0,2,0,0,0,0,0,1,0,4,2,0,1,1,1,0,5,4,0,2,6,0,9,0,0,1,0,0,0,0
2020-02-07,"45,344",32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,1,0,1,4,0,5,0,0,2,0,0,0,0
2020-02-10,"51,469",32,1,1,1,2,0,1,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,2,0,2,0,0,0,0,2,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0
2020-02-11,"35,831",87,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,3,2,3,0,3,0,0,5,4,1,0,1,3,1,0,0,4,0,3,0,1,0,0,0,9,0,0,0,0,2,0,9,1,0,0,5,0,11,0,0,3,0,0,0,0
2020-02-12,"51,795",60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,0,0,1,0,9,0,0,0,9,0,9,0,0,6,0,0,0,0
2020-02-13,"63,067",55,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,4,1,3,0,0,1,6,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,6,3,0,0,0,0,0,6,0,0,0,6,0,7,0,0,1,0,0,0,0
2020-02-14,"48,312",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0
2020-02-17,"40,947",43,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,6,1,0,0,0,1,0,5,1,0,0,2,0,6,0,0,0,0,0,0,0
2020-02-18,"42,260",48,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,2,1,1,3,0,1,0,1,3,0,1,0,0,0,1,2,0,0,0,0,0,4,0,3,0,4,0,0,0,0,1,0,3,2,0,0,0,0,5,0,1,0,0,0,0,0
2020-02-19,"43,150",40,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,4,1,0,0,4,0,6,0,0,3,1,1,0,0
2020-02-20,"55,882",27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,5,0,0,1,0,0,0,0
2020-02-21,"51,953",31,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,1,2,1,1,0,1,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0
2020-02-24,"66,093",149,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,8,7,8,1,0,1,9,1,0,4,1,11,7,0,7,2,7,0,8,0,0,0,1,0,1,7,4,1,0,0,0,2,0,4,2,0,1,4,0,13,0,0,3,0,8,0,7
2020-02-25,"67,074",78,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,11,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,0,0,2,0,11,0,0,0,11,0,12,0,0,7,0,0,0,0
2020-02-26,"81,330",221,0,0,0,0,25,3,2,1,0,0,0,0,0,3,0,0,3,0,3,1,2,0,1,0,6,0,2,1,0,0,3,1,0,2,0,0,0,5,0,6,0,32,26,0,0,1,2,0,10,11,1,1,5,0,33,0,0,2,27,0,0,0
2020-02-27,"142,693",67,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9,7,0,0,0,0,0,3,4,0,0,3,1,10,0,0,2,6,0,0,0
2020-02-28,"102,578",139,0,0,0,0,0,6,1,1,0,0,0,0,0,1,0,0,11,0,1,0,1,0,1,0,5,2,2,0,0,0,3,0,0,2,0,0,0,0,0,2,0,28,1,0,0,1,3,0,6,20,1,0,5,0,30,0,0,3,2,0,0,0
2020-03-02,"74,646",73,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,10,3,0,0,1,0,1,6,4,0,1,7,0,10,0,0,3,3,0,0,0
2020-03-03,"73,175",26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,5,0,0,2,1,0,0,0
2020-03-04,"67,706",38,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,2,0,0,2,1,0,3,1,0,1,0,0,0,3,2,1,0,2,0,5,0,0,2,3,0,0,0
2020-03-05,"56,175",24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,2,0,0,0,0
2020-03-06,"53,556",45,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0,4,0,0,0,5,0,5,0,0,0,1,0,0,0
2020-03-09,"64,194",115,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,10,1,1,2,0,0,0,0,0,3,3,0,0,3,3,1,1,13,6,0,0,0,3,3,10,1,0,0,13,0,13,0,0,3,0,1,0,0
2020-03-10,"80,519",29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,4,0,4,0,0,3,0,0,0,0
2020-03-11,"116,456",224,0,0,1,0,0,1,3,2,0,0,0,0,0,6,0,0,17,0,3,0,4,18,2,0,9,21,2,1,3,0,1,1,0,2,0,0,0,0,0,0,0,9,3,0,0,0,1,0,10,19,1,19,9,0,30,0,0,5,21,0,0,0
2020-03-12,"124,518",105,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,3,0,4,0,0,0,14,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,15,3,0,0,0,1,0,14,0,0,0,14,0,15,0,0,10,1,0,0,0
2020-03-13,"176,111",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0
2020-03-16,"107,699",281,0,0,1,0,9,0,3,11,0,0,0,11,11,0,0,11,11,11,15,9,15,11,1,0,12,11,11,0,8,0,0,1,1,1,0,2,0,12,0,1,9,13,4,0,0,0,10,0,12,1,0,0,12,0,24,0,0,3,3,0,0,0
2020-03-17,"124,614",56,0,0,0,0,1,1,2,3,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,3,1,1,1,0,0,0,1,0,2,1,0,0,1,1,3,1,4,2,1,0,1,1,0,5,0,0,0,4,0,6,0,0,1,2,0,0,0
2020-03-18,"126,497",91,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,1,0,0,3,2,4,0,0,0,9,1,3,1,0,0,0,1,0,4,0,0,0,1,0,1,0,10,3,0,0,1,3,0,10,0,0,0,9,1,10,0,0,6,1,0,0,0
2020-03-19,"144,985",259,0,1,0,1,0,0,10,2,0,0,0,0,0,0,0,1,0,1,12,0,10,0,0,0,33,0,3,1,2,1,1,0,0,3,1,2,0,1,0,1,0,35,10,1,0,1,3,0,33,1,0,0,35,0,36,0,0,14,1,2,0,0
2020-03-20,"141,606",192,0,0,0,1,0,0,9,2,0,0,0,1,0,0,0,0,0,0,8,0,8,0,0,0,24,1,4,0,1,0,0,0,0,2,0,1,1,0,0,0,0,25,8,0,0,2,3,0,24,1,0,1,25,0,26,0,0,10,1,3,0,0
2020-03-23,"103,901",132,1,1,0,0,2,0,6,1,0,0,0,0,0,0,0,2,1,1,7,3,8,0,1,0,11,1,0,0,0,1,0,0,0,1,0,1,0,2,0,2,1,14,7,1,0,2,1,2,14,1,0,0,13,0,14,0,0,6,2,1,0,0
2020-03-24,"105,137",105,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0,14,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,1,15,3,1,0,1,1,0,15,0,0,0,14,0,16,0,0,5,1,0,0,0
2020-03-25,"123,635",129,0,1,0,1,1,0,6,1,0,0,0,1,1,0,0,1,0,0,7,0,6,0,1,0,14,1,3,1,1,0,0,0,0,1,0,2,0,1,0,1,0,15,7,1,0,0,0,0,14,1,0,0,14,0,15,0,0,6,1,3,0,0
2020-03-26,"118,456",93,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,12,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,12,5,0,0,0,2,0,12,0,0,0,12,0,12,0,0,4,0,0,0,0
2020-03-27,"118,304",92,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,11,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,6,0,0,0,1,0,11,0,0,0,11,0,11,0,0,4,0,2,0,0
2020-03-30,"72,070",319,0,0,0,1,2,1,3,4,0,0,0,2,0,35,0,1,24,1,5,0,4,31,0,1,10,37,3,2,0,1,5,0,0,2,0,4,0,8,0,2,2,11,3,0,0,1,1,0,11,6,0,2,11,0,48,0,0,5,28,1,0,0
2020-03-31,"88,619",144,0,0,0,1,4,0,3,3,0,0,0,1,0,2,0,3,3,1,5,0,3,3,0,0,14,3,4,0,0,1,1,0,0,3,0,0,0,4,0,3,3,15,2,0,0,0,3,0,14,0,0,0,14,0,19,0,0,8,1,0,0,0
2020-04-01,"85,399",166,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,2,6,0,0,0,24,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,24,6,0,0,0,0,0,24,0,0,0,24,0,24,0,0,12,0,0,0,0
2020-04-02,"87,781",64,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,0,0,0,0,0,8,0,0,0,8,0,8,0,0,2,0,0,0,0
2020-04-03,"70,008",69,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,10,0,0,0,10,0,10,0,0,3,0,0,0,0
2020-04-06,"85,470",146,1,1,1,1,4,0,7,1,1,0,0,0,1,2,0,5,2,2,8,2,9,1,0,0,10,2,7,2,1,0,3,0,0,3,2,0,0,4,0,2,1,11,7,0,0,1,2,1,9,0,0,0,9,0,13,0,1,1,2,3,0,0
2020-04-07,"77,309",129,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,12,1,12,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,11,0,0,0,1,0,14,0,0,0,14,0,15,0,0,3,1,0,0,1
2020-04-08,"80,087",122,0,0,0,1,2,1,7,2,0,0,0,1,0,2,1,0,2,0,7,2,8,0,0,0,10,2,1,1,2,0,0,0,0,2,0,1,0,1,0,2,1,12,6,1,0,1,2,0,12,2,0,0,10,0,13,0,0,2,2,0,0,0
2020-04-09,"87,322",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,2,0,6,0,0,0,6,0,9,0,0,6,1,0,0,0
2020-04-10,"52,942",146,0,0,0,0,0,3,7,1,0,0,0,0,0,4,3,0,0,0,7,0,7,0,0,0,14,0,5,0,0,0,0,0,0,0,0,1,3,1,0,4,0,18,7,0,0,0,4,0,15,0,0,0,14,0,18,0,0,5,4,1,0,0
2020-04-13,"46,660",66,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,3,0,0,0,0,0,10,0,0,0,10,0,10,0,0,2,0,0,0,0
2020-04-14,"49,264",86,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,1,2,1,7,0,5,0,0,1,8,2,1,1,0,0,0,0,0,2,1,0,0,2,0,2,1,8,5,0,0,0,1,0,8,1,0,1,7,0,9,0,0,1,0,0,0,0
2020-04-16,"95,787",113,0,0,1,1,1,0,8,0,0,0,0,0,0,0,0,1,2,1,9,1,8,0,0,0,12,1,1,1,0,0,0,0,0,1,1,0,0,2,0,1,1,12,8,0,0,0,0,0,12,1,0,1,11,0,12,0,0,2,0,0,0,0
