Date,Stock_Volume
2019.01.02,"39,820"
2019.01.03,"43,258"
2019.01.04,"55,684"
2019.01.07,"50,134"
2019.01.08,"29,562"
2019.01.09,"45,844"
2019.01.10,"47,980"
2019.01.11,"86,997"
2019.01.14,"39,750"
2019.01.15,"41,395"
2019.01.16,"41,164"
2019.01.17,"60,316"
2019.01.18,"66,840"
2019.01.21,"45,057"
2019.01.22,"50,153"
2019.01.23,"56,502"
2019.01.24,"52,595"
2019.01.25,"45,339"
2019.01.28,"41,118"
2019.01.29,"59,906"
2019.01.30,"60,731"
2019.01.31,"70,530"
2019.02.01,"43,577"
2019.02.07,"59,818"
2019.02.08,"33,310"
2019.02.11,"35,862"
2019.02.12,"44,072"
2019.02.13,"57,004"
2019.02.14,"57,967"
2019.02.15,"55,847"
2019.02.18,"32,970"
2019.02.19,"29,047"
2019.02.20,"41,954"
2019.02.21,"45,160"
2019.02.22,"45,732"
2019.02.25,"39,337"
2019.02.26,"37,690"
2019.02.27,"22,948"
2019.02.28,"67,598"
2019.03.04,"63,932"
2019.03.05,"40,302"
2019.03.06,"42,586"
2019.03.07,"51,890"
2019.03.08,"54,046"
2019.03.11,"31,676"
2019.03.12,"28,828"
2019.03.13,"39,292"
2019.03.14,"64,708"
2019.03.15,"93,367"
2019.03.18,"32,286"
2019.03.19,"21,883"
2019.03.20,"32,119"
2019.03.21,"38,724"
2019.03.22,"44,254"
2019.03.25,"43,649"
2019.03.26,"52,233"
2019.03.27,"43,649"
2019.03.28,"47,375"
2019.03.29,"52,452"
2019.04.01,"39,620"
2019.04.02,"50,022"
2019.04.03,"51,878"
2019.04.04,"37,066"
2019.04.05,"29,171"
2019.04.08,"36,846"
2019.04.09,"42,159"
2019.04.10,"25,004"
2019.04.11,"65,665"
2019.04.12,"42,208"
2019.04.15,"27,868"
2019.04.16,"30,265"
2019.04.17,"25,892"
2019.04.18,"41,166"
2019.04.19,"18,212"
2019.04.22,"31,014"
2019.04.23,"49,246"
2019.04.24,"40,854"
2019.04.25,"32,460"
2019.04.26,"38,841"
2019.04.29,"54,652"
2019.04.30,"73,764"
2019.05.02,"42,558"
2019.05.03,"59,845"
2019.05.07,"127,517"
2019.05.08,"55,756"
2019.05.09,"95,119"
2019.05.10,"69,119"
2019.05.13,"42,267"
2019.05.14,"39,456"
2019.05.15,"39,909"
2019.05.16,"43,990"
2019.05.17,"27,416"
2019.05.20,"28,724"
2019.05.21,"50,762"
2019.05.22,"45,129"
2019.05.23,"40,997"
2019.05.24,"59,102"
2019.05.27,"53,591"
2019.05.28,"115,409"
2019.05.29,"44,798"
2019.05.30,"49,434"
2019.05.31,"58,499"
2019.06.03,"71,740"
2019.06.04,"39,419"
2019.06.05,"33,291"
2019.06.07,"41,147"
2019.06.10,"32,158"
2019.06.11,"35,525"
2019.06.12,"49,344"
2019.06.13,"86,384"
2019.06.14,"45,667"
2019.06.17,"38,277"
2019.06.18,"53,713"
2019.06.19,"47,139"
2019.06.20,"35,990"
2019.06.21,"68,607"
2019.06.24,"33,345"
2019.06.25,"39,119"
2019.06.26,"50,461"
2019.06.27,"77,192"
2019.06.28,"50,630"
2019.07.01,"38,369"
2019.07.02,"38,079"
2019.07.03,"47,842"
2019.07.04,"36,282"
2019.07.05,"41,943"
2019.07.08,"37,477"
2019.07.09,"35,438"
2019.07.10,"39,262"
2019.07.11,"46,904"
2019.07.12,"39,263"
2019.07.15,"25,666"
2019.07.16,"42,422"
2019.07.17,"31,042"
2019.07.18,"24,414"
2019.07.19,"63,194"
2019.07.22,"32,895"
2019.07.23,"51,861"
2019.07.24,"34,709"
2019.07.25,"67,255"
2019.07.26,"32,678"
2019.07.29,"37,500"
2019.07.30,"49,365"
2019.07.31,"137,375"
2019.08.01,"83,172"
2019.08.02,"55,498"
2019.08.05,"62,324"
2019.08.06,"77,404"
2019.08.07,"60,695"
2019.08.08,"69,404"
2019.08.09,"34,020"
2019.08.12,"43,097"
2019.08.13,"29,805"
2019.08.14,"45,462"
2019.08.16,"36,750"
2019.08.19,"32,910"
2019.08.20,"35,643"
2019.08.21,"53,263"
2019.08.22,"40,897"
2019.08.23,"53,472"
2019.08.26,"39,562"
2019.08.27,"80,729"
2019.08.28,"35,013"
2019.08.29,"34,572"
